stage,description,Bedroom,Bathroom,Property Size,Nearby School,Nearby Mall,Ad List,Category,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,Firm Type,Firm Number,REN Number,Bus Stop,Mall,Park,School,Hospital,price,Highway,Nearby Railway Station,Railway Station
before,"Vista Lavender Apartment For Sale@ Bandar Kinrara, Puchong
DETAILS :
===========
Unit baru diubahsuai, kitchen cabinet, toilet, flooring semua baru, semua pekakas rumah baru. Terus masuk, tak perlu beli apa apa.
** RM 299,900 nett **
- Leasehold | Non bumi lot
- 852 sqft
- 3 bed & 2 bath
- 1 parking
- Block B
Reno & Furnishing (All items are brand new, view to believe)
* New Flooring ( Full house)
* Built in kitchen cabinet & counter top
* Hood & Hob
* Dining table with chair
* 3 seater sofa with coffee table
* TV cabinet
* Full house Nordic style lighting
* Master room fully furnished
* New water heaters
EASY ACCESS:
Jalan Puchong
Shah Alam Expressway (KESAS)
Lebuhraya Damansara - Puchong (LDP)
5 minutes to Bukit Jalil
5 minutes to IOI Mall & Tesco Bandar Puchong
10 minutes to Sunway Pyramid
10 minutes to PJ Old Town / Taman Sri Manja
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
852 sq.ft.
Nearby School
Kafa Integrasi Al-Falah
See more details",3,2,852 sq.ft.,,,103249540,"Apartment / Condominium, For sale","Security, Playground, Multipurpose hall, Parking, Minimart, Lift",Vista Lavender,Talam Transform Berhad,Leasehold,"Persiaran Kinrara Seksyen 3, Bandar Kinrara, Puchong, Selangor",2000,12,,Apartment,1,High,Non Bumi Lot,E,11584,REN 41807,"Bus Stop at Jalan Puchong 5
Bus Stop at Jalan Puchong 4
Bus Stop at Jalan Taman Kinrara
Bus Stop at Jalan Puchong 7
Bus Stop at Jalan Kinrara 4 1
Bus Stop at Jalan Kinrara 4 2
Bus Stop at Jalan TK 1/11A",,"Park at Taman Kinrara Seksyen 7, Subang Jaya
Park at Taman Kinrara Seksyen 4, Subang Jaya
Park at Taman Kinrara, Subang Jaya
Park at Taman Kinrara Seksyen 3, Bukit Tandang
Park at Taman Bukit Kuchai, Bukit Tandang
Park at Kinrara Ria Apartments, Subang Jaya
Park at Flat Taman Kinrara, Subang Jaya
Park at Bandar Kinrara 3 Park, Bandar Kinrara
Park at Pangsapuri Mawar, Bukit Tandang
Park at Taman Kinrara Seksyen 2, Subang Jaya
Park 1 at Bandar Kinrara, Subang Jaya","Kafa Integrasi Al-Falah
Sekolah Jenis Kebangsaan (Cina) Yak Chee
Sekolah Kebangsaan Bukit Kuchai
Sekolah Kebangsaan Seksyen 1 Bandar Kinrara",,RM 299 900,,,
after_merge,"APARTMENT CEMARA, TAMAN BUKIT SEGAR JAYA,
CHERAS, SELANGOR
Price : RM 155,000 
Details:
-Low Cost Apartment
-Leasehold / Non Bumi Lot
-Strata Title 
-3 Rooms & 2 Bathrooms
-High Floor with Lift
-Size: 650 sqft
-Basic Unit
-Tenanted
Nearby Amenities:
-Mini markets, restaurants & many shops
-Sports Complex, Cheras Leisure Mall & MRT Taman Mutiara
-SUKE & Cheras-Kajang Expressway
Kindly contact for more info & viewing:
Faridah 
Show contact number
REN 36362
Maxxan Realty Sdn Bhd
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
650 sq.ft.
Nearby Railway Station
LRT Station Salak Selatan (Sri Petaling Line)
Nearby School
Sekolah Jenis Kebangsaan (Cina) Tai Thung
See more details",3,2,650 sq.ft.,Sekolah Jenis Kebangsaan (Cina) Tai Thung,,103266000,"Apartment / Condominium, For sale","Lift, Jogging Track, Minimart",Cemara Apartment (Bukit Segar Jaya),,Leasehold,"Jalan Bukit Segar Jaya, Taman Bukit Segar Jaya 2, Cheras, Selangor",,,,Apartment,,High,Non Bumi Lot,E,11766,REN 36362,"Bus Stop Apartment Blok A
Bus Stop Jalan Sri Permaisuri 4
Bus Stop JPJ Cheras
Bus Stop Chengal Condominium
Bus Stop Dataran Dwitasik
Bus Stop T582 T583 T584
Bus Stop Cendana Apartment",,,"Sekolah Jenis Kebangsaan (Cina) Tai Thung
SMK Seri Tasik
Sekolah Menengah Agama Majlis Agama Islam Wilayah Persekutuan
Sekolah Kebangsaan Seri Permaisuri",,RM 155 000,,LRT Station Salak Selatan (Sri Petaling Line),"LRT Station Salak Selatan (Sri Petaling Line)
KTM Station Salak Selatan (Komuter Seremban Line)"
before,"APARTMENT CEMARA, TAMAN BUKIT SEGAR JAYA,
CHERAS, SELANGOR
Price : RM 155,000 
Details:
-Low Cost Apartment
-Leasehold / Non Bumi Lot
-Strata Title 
-3 Rooms & 2 Bathrooms
-High Floor with Lift
-Size: 650 sqft
-Basic Unit
-Tenanted
Nearby Amenities:
-Mini markets, restaurants & many shops
-Sports Complex, Cheras Leisure Mall & MRT Taman Mutiara
-SUKE & Cheras-Kajang Expressway
Kindly contact for more info & viewing:
Faridah 
Show contact number
REN 36362
Maxxan Realty Sdn Bhd
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
650 sq.ft.
Nearby Railway Station
LRT Station Salak Selatan (Sri Petaling Line)
Nearby School
Sekolah Jenis Kebangsaan (Cina) Tai Thung
See more details",3,2,650 sq.ft.,Sekolah Jenis Kebangsaan (Cina) Tai Thung,,103266000,"Apartment / Condominium, For sale","Lift, Jogging Track, Minimart",Cemara Apartment (Bukit Segar Jaya),,Leasehold,"Jalan Bukit Segar Jaya, Taman Bukit Segar Jaya 2, Cheras, Selangor",,,,Apartment,,High,Non Bumi Lot,E,11766,REN 36362,"Bus Stop Apartment Blok A
Bus Stop Jalan Sri Permaisuri 4
Bus Stop JPJ Cheras
Bus Stop Chengal Condominium
Bus Stop Dataran Dwitasik
Bus Stop T582 T583 T584
Bus Stop Cendana Apartment",,,"Sekolah Jenis Kebangsaan (Cina) Tai Thung
SMK Seri Tasik
Sekolah Menengah Agama Majlis Agama Islam Wilayah Persekutuan
Sekolah Kebangsaan Seri Permaisuri",,RM 155 000,,LRT Station Salak Selatan (Sri Petaling Line),"LRT Station Salak Selatan (Sri Petaling Line)
KTM Station Salak Selatan (Komuter Seremban Line)"
before,"APARTMENT CEMARA, TAMAN BUKIT SEGAR JAYA,
CHERAS, SELANGOR
Price : RM 155,000 
Details:
-Low Cost Apartment
-Leasehold / Non Bumi Lot
-Strata Title 
-3 Rooms & 2 Bathrooms
-High Floor with Lift
-Size: 650 sqft
-Basic Unit
-Tenanted
Nearby Amenities:
-Mini markets, restaurants & many shops
-Sports Complex, Cheras Leisure Mall & MRT Taman Mutiara
-SUKE & Cheras-Kajang Expressway
Kindly contact for more info & viewing:
Faridah 
Show contact number
REN 36362
Maxxan Realty Sdn Bhd
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
650 sq.ft.
Nearby Railway Station
LRT Station Salak Selatan (Sri Petaling Line)
Nearby School
Sekolah Jenis Kebangsaan (Cina) Tai Thung
See more details",3,2,650 sq.ft.,,,103266000,"Apartment / Condominium, For sale","Lift, Jogging Track, Minimart",Cemara Apartment (Bukit Segar Jaya),,Leasehold,"Jalan Bukit Segar Jaya, Taman Bukit Segar Jaya 2, Cheras, Selangor",,,,Apartment,,High,Non Bumi Lot,E,11766,REN 36362,"Bus Stop Apartment Blok A
Bus Stop Jalan Sri Permaisuri 4
Bus Stop JPJ Cheras
Bus Stop Chengal Condominium
Bus Stop Dataran Dwitasik
Bus Stop T582 T583 T584
Bus Stop Cendana Apartment",,,"Sekolah Jenis Kebangsaan (Cina) Tai Thung
SMK Seri Tasik
Sekolah Menengah Agama Majlis Agama Islam Wilayah Persekutuan
Sekolah Kebangsaan Seri Permaisuri",,RM 155 000,,,"LRT Station Salak Selatan (Sri Petaling Line)
KTM Station Salak Selatan (Komuter Seremban Line)"
after_merge,"Majestic Maxim, Cheras, 
New Condo for Sale
2 rooms 2 bedrooms
Air cond
650sf
1 car park
Great facilities
Sale RM360k
Please call Kinki Chan 
Show contact number
 for more information. Thank you.
PROPERTY HIGHLIGHTS
NEW!
Bedroom
2
Bathroom
2
Property Size
650 sq.ft.
Nearby Railway Station
MRT Station Taman Connaught (MRT Sungai Buloh-Kajang Line)
Nearby School
SK Seri Anggerik
Nearby Mall
Cheras Sentral
See more details",2,2,650 sq.ft.,SK Seri Anggerik,Cheras Sentral,103343288,"Apartment / Condominium, For sale","Lift, Barbeque area, Parking, Security, Playground, Swimming Pool, Gymnasium",Majestic Maxim,Maxim Holdings,Leasehold,"Jalan 9/142, Taman Connaught, Cheras, Kuala Lumpur",2021,44,2136,Service Residence,1,,Non Bumi Lot,E,11688,REN 20170,,Cheras Sentral,,"SK Seri Anggerik
SMK Orkid Desa
Rocklin Learning Center",,RM 360 000,,MRT Station Taman Connaught (MRT Sungai Buloh-Kajang Line),MRT Station Taman Connaught (MRT Sungai Buloh-Kajang Line)
before,"Majestic Maxim, Cheras, 
New Condo for Sale
2 rooms 2 bedrooms
Air cond
650sf
1 car park
Great facilities
Sale RM360k
Please call Kinki Chan 
Show contact number
 for more information. Thank you.
PROPERTY HIGHLIGHTS
NEW!
Bedroom
2
Bathroom
2
Property Size
650 sq.ft.
Nearby Railway Station
MRT Station Taman Connaught (MRT Sungai Buloh-Kajang Line)
Nearby School
SK Seri Anggerik
Nearby Mall
Cheras Sentral
See more details",2,2,650 sq.ft.,,,103343288,"Apartment / Condominium, For sale","Lift, Barbeque area, Parking, Security, Playground, Swimming Pool, Gymnasium",Majestic Maxim,Maxim Holdings,Leasehold,"Jalan 9/142, Taman Connaught, Cheras, Kuala Lumpur",2021,44,2136,Service Residence,1,,Non Bumi Lot,E,11688,REN 20170,,Cheras Sentral,,"SK Seri Anggerik
SMK Orkid Desa
Rocklin Learning Center",,RM 360 000,,,MRT Station Taman Connaught (MRT Sungai Buloh-Kajang Line)
before,"Majestic Maxim, Cheras, 
New Condo for Sale
2 rooms 2 bedrooms
Air cond
650sf
1 car park
Great facilities
Sale RM360k
Please call Kinki Chan 
Show contact number
 for more information. Thank you.
PROPERTY HIGHLIGHTS
NEW!
Bedroom
2
Bathroom
2
Property Size
650 sq.ft.
Nearby Railway Station
MRT Station Taman Connaught (MRT Sungai Buloh-Kajang Line)
Nearby School
SK Seri Anggerik
Nearby Mall
Cheras Sentral
See more details",2,2,650 sq.ft.,SK Seri Anggerik,Cheras Sentral,103343288,"Apartment / Condominium, For sale","Lift, Barbeque area, Parking, Security, Playground, Swimming Pool, Gymnasium",Majestic Maxim,Maxim Holdings,Leasehold,"Jalan 9/142, Taman Connaught, Cheras, Kuala Lumpur",2021,44,2136,Service Residence,1,,Non Bumi Lot,E,11688,REN 20170,,Cheras Sentral,,"SK Seri Anggerik
SMK Orkid Desa
Rocklin Learning Center",,RM 360 000,,MRT Station Taman Connaught (MRT Sungai Buloh-Kajang Line),MRT Station Taman Connaught (MRT Sungai Buloh-Kajang Line)
after_merge,"** Vista Pinggiran Apartment for SALE **
- 3 Rooms 2 Bathrooms
- 2 Parking Lot
- High Floor
Condo Facilities:
- 24 hours Security
- Playground
- Covered Parking
- Cafeteria
- Shops
- Swimming Pool
- Multipurpose Hall with Badminton Court
- Gym Room
- ETC
Near a lot amenities which is:
-nearby universities lim kok wing,upm,,ukm,uniten,mum
-KFC Restaurant
-McDonalds Restaurant
Few minutes to shopping centre with driving distance:
-2 minutes to Pasar Borong
-5 minutes to Giant Supermarket
-5 minutes to AEON Equine Park (Jusco)
## Welcome owner to list ##
Brandon Yee (REN 07419)- 
Show contact number
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
815 sq.ft.
Nearby Mall
AEON Taman Equine
See more details",3,2,815 sq.ft.,,AEON Taman Equine,103401180,"Apartment / Condominium, For sale","Parking, Playground, Swimming Pool, Gymnasium, Barbeque area, Security, Minimart",Vista Pinggiran,LBS Bina Group Berhad,Leasehold,"Jalan Pinggiran Putra 1, Seksyen 2, Taman Pinggiran Putra, Seri Kembangan, Selangor",2004,20,998,Apartment,2,,Non Bumi Lot,E,30205,REN 07419,Bus Stop at Persiaran Lestari Perdana 1,AEON Taman Equine,"Park at Taman Pinggiran Putra, Putra Permai
Park at Pangsapuri Putra Indah, Putra Permai
Park at Putra Permai Block D Playground, Putra Permai
Park 2 at Putra Permai, Subang Jaya
Park 3 at Putra Permai, Subang Jaya",,,RM 265 000,,,
before,"** Vista Pinggiran Apartment for SALE **
- 3 Rooms 2 Bathrooms
- 2 Parking Lot
- High Floor
Condo Facilities:
- 24 hours Security
- Playground
- Covered Parking
- Cafeteria
- Shops
- Swimming Pool
- Multipurpose Hall with Badminton Court
- Gym Room
- ETC
Near a lot amenities which is:
-nearby universities lim kok wing,upm,,ukm,uniten,mum
-KFC Restaurant
-McDonalds Restaurant
Few minutes to shopping centre with driving distance:
-2 minutes to Pasar Borong
-5 minutes to Giant Supermarket
-5 minutes to AEON Equine Park (Jusco)
## Welcome owner to list ##
Brandon Yee (REN 07419)- 
Show contact number
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
815 sq.ft.
Nearby Mall
AEON Taman Equine
See more details",3,2,815 sq.ft.,,AEON Taman Equine,103401180,"Apartment / Condominium, For sale","Parking, Playground, Swimming Pool, Gymnasium, Barbeque area, Security, Minimart",Vista Pinggiran,LBS Bina Group Berhad,Leasehold,"Jalan Pinggiran Putra 1, Seksyen 2, Taman Pinggiran Putra, Seri Kembangan, Selangor",2004,20,998,Apartment,2,,Non Bumi Lot,E,30205,REN 07419,Bus Stop at Persiaran Lestari Perdana 1,AEON Taman Equine,"Park at Taman Pinggiran Putra, Putra Permai
Park at Pangsapuri Putra Indah, Putra Permai
Park at Putra Permai Block D Playground, Putra Permai
Park 2 at Putra Permai, Subang Jaya
Park 3 at Putra Permai, Subang Jaya",,,RM 265 000,,,
before,"** Vista Pinggiran Apartment for SALE **
- 3 Rooms 2 Bathrooms
- 2 Parking Lot
- High Floor
Condo Facilities:
- 24 hours Security
- Playground
- Covered Parking
- Cafeteria
- Shops
- Swimming Pool
- Multipurpose Hall with Badminton Court
- Gym Room
- ETC
Near a lot amenities which is:
-nearby universities lim kok wing,upm,,ukm,uniten,mum
-KFC Restaurant
-McDonalds Restaurant
Few minutes to shopping centre with driving distance:
-2 minutes to Pasar Borong
-5 minutes to Giant Supermarket
-5 minutes to AEON Equine Park (Jusco)
## Welcome owner to list ##
Brandon Yee (REN 07419)- 
Show contact number
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
815 sq.ft.
Nearby Mall
AEON Taman Equine
See more details",3,2,815 sq.ft.,,,103401180,"Apartment / Condominium, For sale","Parking, Playground, Swimming Pool, Gymnasium, Barbeque area, Security, Minimart",Vista Pinggiran,LBS Bina Group Berhad,Leasehold,"Jalan Pinggiran Putra 1, Seksyen 2, Taman Pinggiran Putra, Seri Kembangan, Selangor",2004,20,998,Apartment,2,,Non Bumi Lot,E,30205,REN 07419,Bus Stop at Persiaran Lestari Perdana 1,AEON Taman Equine,"Park at Taman Pinggiran Putra, Putra Permai
Park at Pangsapuri Putra Indah, Putra Permai
Park at Putra Permai Block D Playground, Putra Permai
Park 2 at Putra Permai, Subang Jaya
Park 3 at Putra Permai, Subang Jaya",,,RM 265 000,,,
after_merge,"For Sale @ Mentari Court
Price: Rm260,000
Details:
-3Room 2Bathroom
-770sqft
-Renovated
-Non Bumi Lot
Facilities:
-24-Hours Gated Guarded
-Playground
-Surau
-Landscape Garden
-Wading Pool
-Swimming Pool
-Jogging Track
Special arrangements for those who deal with me:
=======================================
# Mark up loan can be arranged
# Cash Back can be arranged
# Loan rejected deposit is 100% refunded
# We can assist and help you solve if your loan is rejected, we can make it approve!!
# Maximum discount for other fees
# Fast selling units that are under market value
# Viewing appointment can be held immediately
# Get your dream house with me !!!
# Owners are welcome to list their property unit to me
=======================================
** We do all the work for you, you can just view the unit and relax and enjoy while waiting for your new house!
** Commission get from owner, BUYER PAY AGENT RM0!!!
** We assist LOAN & LAWYER service
** If loan rejected, 100% GUARANTEE REFUND TO YOU
FOR VIEWING APPOITMENT AND MORE INFORMATION :
ALVIN: 
Show contact number
WhatsApp :
https://AlvinTHC.wasap.my/
Photos shown may not be for the actual unit, it’s for illustration purpose
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
770 sq.ft.
Nearby Railway Station
KTM Station Setia Jaya (Komuter Tanjung Malim-Pelabuhan Klang)
Nearby School
Sri Emas International School
See more details",3,2,770 sq.ft.,Sri Emas International School,,103456523,"Apartment / Condominium, For sale",,Mentari Court,Mentari Group,Leasehold,"Jalan PJS8/9, Petaling Jaya, Selangor",2006,18,200,Apartment,,Medium,Non Bumi Lot,,,REN 61276,"Bus Stop at Opposite Freescale
Bus Stop at Freescale Semiconductors
Bus Stop at Federal Highway Motorcycle Lane 4
Bus Stop at Federal Highway Motorcycle Lane 5",,"Park at PJS 10 Park, PJS 10
Park 2 at PJS 6, Sungai Way
Park 1 at PJS 6, Sungai Way
Park at PJS 9, Sunway City","Sri Emas International School
Sekolah Kebangsaan Kampung Lindungan
Sekolah Kebangsaan Sungei Way",,RM 260 000,,KTM Station Setia Jaya (Komuter Tanjung Malim-Pelabuhan Klang),KTM Station Setia Jaya (Komuter Tanjung Malim-Pelabuhan Klang)
before,"For Sale @ Mentari Court
Price: Rm260,000
Details:
-3Room 2Bathroom
-770sqft
-Renovated
-Non Bumi Lot
Facilities:
-24-Hours Gated Guarded
-Playground
-Surau
-Landscape Garden
-Wading Pool
-Swimming Pool
-Jogging Track
Special arrangements for those who deal with me:
=======================================
# Mark up loan can be arranged
# Cash Back can be arranged
# Loan rejected deposit is 100% refunded
# We can assist and help you solve if your loan is rejected, we can make it approve!!
# Maximum discount for other fees
# Fast selling units that are under market value
# Viewing appointment can be held immediately
# Get your dream house with me !!!
# Owners are welcome to list their property unit to me
=======================================
** We do all the work for you, you can just view the unit and relax and enjoy while waiting for your new house!
** Commission get from owner, BUYER PAY AGENT RM0!!!
** We assist LOAN & LAWYER service
** If loan rejected, 100% GUARANTEE REFUND TO YOU
FOR VIEWING APPOITMENT AND MORE INFORMATION :
ALVIN: 
Show contact number
WhatsApp :
https://AlvinTHC.wasap.my/
Photos shown may not be for the actual unit, it’s for illustration purpose
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
770 sq.ft.
Nearby Railway Station
KTM Station Setia Jaya (Komuter Tanjung Malim-Pelabuhan Klang)
Nearby School
Sri Emas International School
See more details",3,2,770 sq.ft.,,,103456523,"Apartment / Condominium, For sale",,Mentari Court,Mentari Group,Leasehold,"Jalan PJS8/9, Petaling Jaya, Selangor",2006,18,200,Apartment,,Medium,Non Bumi Lot,,,REN 61276,"Bus Stop at Opposite Freescale
Bus Stop at Freescale Semiconductors
Bus Stop at Federal Highway Motorcycle Lane 4
Bus Stop at Federal Highway Motorcycle Lane 5",,"Park at PJS 10 Park, PJS 10
Park 2 at PJS 6, Sungai Way
Park 1 at PJS 6, Sungai Way
Park at PJS 9, Sunway City","Sri Emas International School
Sekolah Kebangsaan Kampung Lindungan
Sekolah Kebangsaan Sungei Way",,RM 260 000,,,KTM Station Setia Jaya (Komuter Tanjung Malim-Pelabuhan Klang)
before,"For Sale @ Mentari Court
Price: Rm260,000
Details:
-3Room 2Bathroom
-770sqft
-Renovated
-Non Bumi Lot
Facilities:
-24-Hours Gated Guarded
-Playground
-Surau
-Landscape Garden
-Wading Pool
-Swimming Pool
-Jogging Track
Special arrangements for those who deal with me:
=======================================
# Mark up loan can be arranged
# Cash Back can be arranged
# Loan rejected deposit is 100% refunded
# We can assist and help you solve if your loan is rejected, we can make it approve!!
# Maximum discount for other fees
# Fast selling units that are under market value
# Viewing appointment can be held immediately
# Get your dream house with me !!!
# Owners are welcome to list their property unit to me
=======================================
** We do all the work for you, you can just view the unit and relax and enjoy while waiting for your new house!
** Commission get from owner, BUYER PAY AGENT RM0!!!
** We assist LOAN & LAWYER service
** If loan rejected, 100% GUARANTEE REFUND TO YOU
FOR VIEWING APPOITMENT AND MORE INFORMATION :
ALVIN: 
Show contact number
WhatsApp :
https://AlvinTHC.wasap.my/
Photos shown may not be for the actual unit, it’s for illustration purpose
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
770 sq.ft.
Nearby Railway Station
KTM Station Setia Jaya (Komuter Tanjung Malim-Pelabuhan Klang)
Nearby School
Sri Emas International School
See more details",3,2,770 sq.ft.,Sri Emas International School,,103456523,"Apartment / Condominium, For sale",,Mentari Court,Mentari Group,Leasehold,"Jalan PJS8/9, Petaling Jaya, Selangor",2006,18,200,Apartment,,Medium,Non Bumi Lot,,,REN 61276,"Bus Stop at Opposite Freescale
Bus Stop at Freescale Semiconductors
Bus Stop at Federal Highway Motorcycle Lane 4
Bus Stop at Federal Highway Motorcycle Lane 5",,"Park at PJS 10 Park, PJS 10
Park 2 at PJS 6, Sungai Way
Park 1 at PJS 6, Sungai Way
Park at PJS 9, Sunway City","Sri Emas International School
Sekolah Kebangsaan Kampung Lindungan
Sekolah Kebangsaan Sungei Way",,RM 260 000,,KTM Station Setia Jaya (Komuter Tanjung Malim-Pelabuhan Klang),KTM Station Setia Jaya (Komuter Tanjung Malim-Pelabuhan Klang)
after_merge,"WTS
FOR SALE : Riviera Apartment, Taman Muda, Ampang Selangor
DETAILS: 
→ Walk Up Apartment
→ 4th Floor (Top Floor)
→ Leasehold 
→ Non Bumi Lot
→ Strata Title Ready 
→ Built Up: 883 sqft 
→ 3 Bedrooms 
→ 2 Bathrooms 
→ Balcony 
→ Maintenance: RM78 per month
→ Kitchen Cabinet
→ Open Carpark 
→ Yard
EASILY ACCESS:
→ Lebuhraya MEX HIGHWAY
→ North-South Highway (PLUS)
→ KESAS highway
→ MRR2
============================
ASKING PRICE: RM 235,000 [ NEGO]
============================
Untuk Maklumat Lanjut, Hubungi
NIK RAIMI 
REN 51932
GREAT CASA REALTY 
http://www.wasap.my/6
Show contact number
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
883 sq.ft.
Nearby School
Sekolah Kebangsaan Taman Muda
See more details",3,2,883 sq.ft.,Sekolah Kebangsaan Taman Muda,,103468045,"Apartment / Condominium, For sale","Security, Playground, Minimart, Parking",Riviera Apartment,,Leasehold,"Jalan Bunga Mawar 5a Taman Muda, Ampang, Selangor",,5,,Apartment,,High,Non Bumi Lot,VE,10143,REN 24482,,,"Park 1 at Taman Muda, Pandan Indah","Sekolah Kebangsaan Taman Muda
Sekolah Menengah Kebangsaan Pandan Indah
Sekolah Kebangsaan Pandan Indah
Sekolah Kebangsaan Kampung Cheras Baharu
Sekolah Menengah Kebangsaan Taman Seraya",,RM 235 000,,,
before,"WTS
FOR SALE : Riviera Apartment, Taman Muda, Ampang Selangor
DETAILS: 
→ Walk Up Apartment
→ 4th Floor (Top Floor)
→ Leasehold 
→ Non Bumi Lot
→ Strata Title Ready 
→ Built Up: 883 sqft 
→ 3 Bedrooms 
→ 2 Bathrooms 
→ Balcony 
→ Maintenance: RM78 per month
→ Kitchen Cabinet
→ Open Carpark 
→ Yard
EASILY ACCESS:
→ Lebuhraya MEX HIGHWAY
→ North-South Highway (PLUS)
→ KESAS highway
→ MRR2
============================
ASKING PRICE: RM 235,000 [ NEGO]
============================
Untuk Maklumat Lanjut, Hubungi
NIK RAIMI 
REN 51932
GREAT CASA REALTY 
http://www.wasap.my/6
Show contact number
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
883 sq.ft.
Nearby School
Sekolah Kebangsaan Taman Muda
See more details",3,2,883 sq.ft.,,,103468045,"Apartment / Condominium, For sale","Security, Playground, Minimart, Parking",Riviera Apartment,,Leasehold,"Jalan Bunga Mawar 5a Taman Muda, Ampang, Selangor",,5,,Apartment,,High,Non Bumi Lot,VE,10143,REN 24482,,,"Park 1 at Taman Muda, Pandan Indah","Sekolah Kebangsaan Taman Muda
Sekolah Menengah Kebangsaan Pandan Indah
Sekolah Kebangsaan Pandan Indah
Sekolah Kebangsaan Kampung Cheras Baharu
Sekolah Menengah Kebangsaan Taman Seraya",,RM 235 000,,,
before,"WTS
FOR SALE : Riviera Apartment, Taman Muda, Ampang Selangor
DETAILS: 
→ Walk Up Apartment
→ 4th Floor (Top Floor)
→ Leasehold 
→ Non Bumi Lot
→ Strata Title Ready 
→ Built Up: 883 sqft 
→ 3 Bedrooms 
→ 2 Bathrooms 
→ Balcony 
→ Maintenance: RM78 per month
→ Kitchen Cabinet
→ Open Carpark 
→ Yard
EASILY ACCESS:
→ Lebuhraya MEX HIGHWAY
→ North-South Highway (PLUS)
→ KESAS highway
→ MRR2
============================
ASKING PRICE: RM 235,000 [ NEGO]
============================
Untuk Maklumat Lanjut, Hubungi
NIK RAIMI 
REN 51932
GREAT CASA REALTY 
http://www.wasap.my/6
Show contact number
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
883 sq.ft.
Nearby School
Sekolah Kebangsaan Taman Muda
See more details",3,2,883 sq.ft.,Sekolah Kebangsaan Taman Muda,,103468045,"Apartment / Condominium, For sale","Security, Playground, Minimart, Parking",Riviera Apartment,,Leasehold,"Jalan Bunga Mawar 5a Taman Muda, Ampang, Selangor",,5,,Apartment,,High,Non Bumi Lot,VE,10143,REN 24482,,,"Park 1 at Taman Muda, Pandan Indah","Sekolah Kebangsaan Taman Muda
Sekolah Menengah Kebangsaan Pandan Indah
Sekolah Kebangsaan Pandan Indah
Sekolah Kebangsaan Kampung Cheras Baharu
Sekolah Menengah Kebangsaan Taman Seraya",,RM 235 000,,,
